,keyword,count,ratio
0,看護費,158,24.96
1,骨折,93,14.69
2,出血,79,12.48
3,頭部,78,12.32
4,道路交通,73,11.53
5,是否,71,11.22
6,殯葬費,68,10.74
7,扶養費,63,9.95
8,義務,62,9.79
9,最高法院,58,9.16
10,194,52,8.21
11,時速,50,7.9
12,霍夫曼,49,7.74
13,192,45,7.11
14,安全措施,44,6.95
15,重型機車,44,6.95
16,濃度,43,6.79
17,普通重型機車,42,6.64
18,嚴重,41,6.48
19,之機車,38,6.0
20,減輕,37,5.85
21,願供,33,5.21
22,相驗,32,5.06
23,性骨折,31,4.9
24,殯葬費用,31,4.9
25,常規,31,4.9
26,喪葬費,30,4.74
27,血親,30,4.74
28,酒精,30,4.74
29,先行,29,4.58
30,191,29,4.58
31,喪葬費用,28,4.42
32,闖紅燈,28,4.42
33,工作損失,27,4.27
34,情況,26,4.11
35,請准,25,3.95
36,說明,24,3.79
37,限制,24,3.79
38,能力,24,3.79
39,護理,24,3.79
40,撫金,23,3.63
41,造成,23,3.63
42,家屬,23,3.63
43,燈光,23,3.63
44,死者,23,3.63
45,217,23,3.63
46,原因,23,3.63
47,處置,23,3.63
48,市政府,23,3.63
49,意識,22,3.48
50,經濟,22,3.48
51,所述,22,3.48
52,失行,21,3.32
53,顱內,21,3.32
54,車速,21,3.32
55,前方,21,3.32
56,疏失,21,3.32
57,終結,20,3.16
58,警詢,20,3.16
59,腦膜,20,3.16
60,227,20,3.16
61,平均,20,3.16
62,不能,20,3.16
63,律師,20,3.16
64,75,20,3.16
65,保險金,20,3.16
66,停止,20,3.16
67,痕跡,20,3.16
68,傷口,19,3.0
69,開規定,19,3.0
70,位置,19,3.0
71,失能,19,3.0
72,呼吸,19,3.0
73,判斷,18,2.84
74,下肢,18,2.84
75,基礎,18,2.84
76,斷層,17,2.69
77,症狀,17,2.69
78,之義務,17,2.69
79,衛生法,17,2.69
80,並無過,17,2.69
81,交通部,17,2.69
82,負連帶,17,2.69
83,心臟,17,2.69
84,實際,17,2.69
85,藥物,17,2.69
86,加護,17,2.69
87,客觀,16,2.53
88,受僱,16,2.53
89,免除,16,2.53
90,關節,16,2.53
91,植物人,16,2.53
92,小客,16,2.53
93,負責,16,2.53
94,遵守,16,2.53
95,顱骨,16,2.53
96,來車,16,2.53
97,指示,16,2.53
98,直系,16,2.53
99,道行,16,2.53
100,同意,16,2.53
101,錄器,16,2.53
102,強制汽車責任保險金,16,2.53
103,原則,16,2.53
104,左偏,16,2.53
105,救護車,15,2.37
106,0000000000,15,2.37
107,履行,15,2.37
108,受判,15,2.37
109,公路,15,2.37
110,333,15,2.37
111,偵續,15,2.37
112,總局,15,2.37
113,路由,15,2.37
114,人車,15,2.37
115,現象,15,2.37
116,出現,15,2.37
117,殘廢,14,2.21
118,分鐘,14,2.21
119,證稱,14,2.21
120,無照,14,2.21
121,骨科,14,2.21
122,救護,14,2.21
123,利者,14,2.21
124,每人,14,2.21
125,有何,14,2.21
126,滑行,14,2.21
127,法人,14,2.21
128,起步,14,2.21
129,依前,14,2.21
130,185,14,2.21
