,keyword,count,ratio
0,是否,2,40.0
1,疼痛,2,40.0
2,頭部,2,40.0
3,南向,1,20.0
4,新店,1,20.0
5,155,1,20.0
6,職安設,1,20.0
7,施規則,1,20.0
8,救護車,1,20.0
9,搬運系,1,20.0
10,法醫,1,20.0
11,心臟,1,20.0
12,緊急傷,1,20.0
13,轉診,1,20.0
14,玖佰壹拾,1,20.0
15,壹拾,1,20.0
16,平及,1,20.0
17,滑行,1,20.0
18,心肌,1,20.0
19,格法,1,20.0
20,左後輪,1,20.0
21,養費用,1,20.0
22,本應,1,20.0
23,0.16,1,20.0
24,看見,1,20.0
25,之遠,1,20.0
26,拖行,1,20.0
27,彎道,1,20.0
28,本車,1,20.0
29,起點,1,20.0
30,測試,1,20.0
31,肥大,1,20.0
32,回頭,1,20.0
33,雲林長,1,20.0
34,架橋,1,20.0
35,道行,1,20.0
36,指派,1,20.0
37,公斤,1,20.0
38,限制,1,20.0
39,用品,1,20.0
40,左手,1,20.0
41,喊叫,1,20.0
42,固定,1,20.0
43,財因,1,20.0
44,負責,1,20.0
45,關節,1,20.0
46,主訴,1,20.0
47,函詢,1,20.0
48,明醫中,1,20.0
49,國仁,1,20.0
50,飲用,1,20.0
51,194,1,20.0
52,檢測,1,20.0
53,水溝,1,20.0
54,心肌病,1,20.0
55,租金,1,20.0
56,溝格柵板,1,20.0
57,梁女,1,20.0
58,市車,1,20.0
59,明書,1,20.0
60,不當,1,20.0
61,之國道,1,20.0
62,389,1,20.0
63,董竣,1,20.0
64,雖非,1,20.0
65,平毀,1,20.0
66,之慰,1,20.0
67,領域,1,20.0
68,架設,1,20.0
69,實際,1,20.0
70,經濟,1,20.0
71,餘萬元,1,20.0
72,探勘,1,20.0
73,財及,1,20.0
74,雙肩,1,20.0
75,690,1,20.0
76,財物損失,1,20.0
77,醫字,1,20.0
78,藍舜玉主張,1,20.0
79,不應,1,20.0
80,輾壓,1,20.0
81,蘇詠翔,1,20.0
82,解剖,1,20.0
83,照明,1,20.0
84,彥凱,1,20.0
85,右肩,1,20.0
86,盧春地,1,20.0
87,財請求,1,20.0
88,該院,1,20.0
89,222,1,20.0
90,濃度,1,20.0
91,相驗,1,20.0
92,可證,1,20.0
93,撞擊梁,1,20.0
94,側車,1,20.0
95,張鈴芳,1,20.0
96,拖擦傷,1,20.0
97,廖渠,1,20.0
98,胡華衛,1,20.0
99,平抗,1,20.0
100,函覆稱,1,20.0
101,速限,1,20.0
102,涵所駕,1,20.0
103,一號,1,20.0
104,致梁,1,20.0
105,邱志忠,1,20.0
106,平均法,1,20.0
107,顏敏,1,20.0
108,工作損失,1,20.0
109,酒精,1,20.0
110,烏來,1,20.0
111,影像,1,20.0
112,舊額,1,20.0
113,國道,1,20.0
114,過來,1,20.0
115,生殖器,1,20.0
116,背部,1,20.0
117,搬運,1,20.0
118,看護費,1,20.0
119,蘇淑玲,1,20.0
120,時速,1,20.0
121,皮柵欄,1,20.0
122,逢甲,1,20.0
123,阮進財,1,20.0
124,健民,1,20.0
125,駕車輛,1,20.0
126,店客,1,20.0
127,909,1,20.0
128,嚴志平,1,20.0
129,蘇千松,1,20.0
130,劉素,1,20.0
131,格柵板,1,20.0
132,寶建,1,20.0
133,梁詠,1,20.0
134,竣傑,1,20.0
135,鐵皮柵欄,1,20.0
136,詠涵,1,20.0
137,阮進,1,20.0
138,啟俊,1,20.0
139,董致平,1,20.0
140,梁詠涵,1,20.0
141,惠芬,1,20.0
142,董致,1,20.0
143,蘇靖棠,1,20.0
144,張振榮,1,20.0
145,藍舜玉,1,20.0
146,李慶良,1,20.0
