,keyword,count,ratio
0,看護費,177,82.33
1,霍夫曼,108,50.23
2,骨折,47,21.86
3,癱瘓,40,18.6
4,植物人,38,17.67
5,出血,34,15.81
6,頭部,34,15.81
7,嚴重,34,15.81
8,終身,30,13.95
9,自理,29,13.49
10,肢體,28,13.02
11,最高法院,25,11.63
12,平均,22,10.23
13,重型機車,19,8.84
14,能力,19,8.84
15,所不爭執,19,8.84
16,程度,18,8.37
17,四肢,18,8.37
18,協助,17,7.91
19,下肢,17,7.91
20,失能,17,7.91
21,監護,16,7.44
22,實際,16,7.44
23,年齡,16,7.44
24,脊髓,15,6.98
25,重傷,14,6.51
26,不能,14,6.51
27,勞動力,14,6.51
28,道路交通,13,6.05
29,用品,13,6.05
30,顱骨,13,6.05
31,缺損,12,5.58
32,日常生活,12,5.58
33,全日,12,5.58
34,腦膜,12,5.58
35,負連帶,11,5.12
36,輪椅,11,5.12
37,單利,11,5.12
38,算法,11,5.12
39,判例,11,5.12
40,無力,11,5.12
41,先行,11,5.12
42,0000000000,11,5.12
43,扶養費,11,5.12
44,普通重型機車,11,5.12
45,撫金,11,5.12
46,功能,10,4.65
47,受僱,10,4.65
48,經濟,10,4.65
49,每日,10,4.65
50,傷合,10,4.65
51,重傷害,10,4.65
52,支付,10,4.65
53,交重,10,4.65
54,偏癱,10,4.65
55,生命表,10,4.65
56,累計,9,4.19
57,機能,9,4.19
58,是否,9,4.19
59,增加,9,4.19
60,安全措施,9,4.19
61,時速,9,4.19
62,濃度,9,4.19
63,重大,8,3.72
64,終結,8,3.72
65,昏迷,8,3.72
66,創傷,8,3.72
67,義務,8,3.72
68,語言,8,3.72
69,187,8,3.72
70,顱內,8,3.72
71,終生,8,3.72
72,重度,8,3.72
73,尚有,8,3.72
74,伍拾,8,3.72
75,尿布,8,3.72
76,截肢,8,3.72
77,審交重,8,3.72
78,護理,8,3.72
79,輔助,7,3.26
80,每月薪資,7,3.26
81,工作損失,7,3.26
82,判斷,7,3.26
83,僱用,7,3.26
84,192,7,3.26
85,利者,7,3.26
86,行駛至,7,3.26
87,薪資損失,7,3.26
88,交附民字,7,3.26
89,047,7,3.26
90,日生,7,3.26
91,扣繳,7,3.26
92,基礎,7,3.26
93,49,7,3.26
94,開規定,7,3.26
95,此為,7,3.26
96,斟酌,7,3.26
97,胸椎,7,3.26
98,障害,7,3.26
99,不爭,7,3.26
100,00000000,7,3.26
101,義肢,7,3.26
102,看護工,6,2.79
103,減輕,6,2.79
104,監宣字,6,2.79
105,腦部,6,2.79
106,72,6,2.79
107,請准,6,2.79
108,客觀,6,2.79
109,意識,6,2.79
110,經系統,6,2.79
111,就業,6,2.79
112,行政院,6,2.79
113,下腔,6,2.79
114,44,6,2.79
115,185,6,2.79
116,115,6,2.79
117,醫療用品費,6,2.79
118,預供,6,2.79
119,撕裂,6,2.79
120,腰椎,6,2.79
121,耗材,6,2.79
122,來車,6,2.79
123,醫藥費,6,2.79
124,之重,6,2.79
125,闖紅燈,6,2.79
126,關節,6,2.79
127,脛骨,5,2.33
128,半日,5,2.33
129,造成,5,2.33
130,僱請,5,2.33
131,191,5,2.33
132,傷口,5,2.33
133,撤回,5,2.33
134,器材,5,2.33
135,粉碎性,5,2.33
136,不應,5,2.33
137,本應,5,2.33
138,復健費,5,2.33
139,工作收入,5,2.33
140,196,5,2.33
141,日診斷,5,2.33
142,73,5,2.33
143,77,5,2.33
144,優先,5,2.33
145,194,5,2.33
146,照料,5,2.33
147,搭載,5,2.33
148,痛苦,5,2.33
149,腦內,5,2.33
150,開放性骨折,5,2.33
151,貿然,5,2.33
152,身心,5,2.33
153,無照,5,2.33
154,腦傷,5,2.33
155,217,5,2.33
156,直系,5,2.33
157,215,5,2.33
158,一路,5,2.33
159,網膜,5,2.33
160,醫學大學,5,2.33
161,無據,5,2.33
162,臥床,5,2.33
163,040,5,2.33
164,月薪,5,2.33
165,大小便,5,2.33
166,564,5,2.33
167,救護,5,2.33
168,0.00000000,5,2.33
169,遺存,5,2.33
170,訴訟標,5,2.33
171,用計,5,2.33
172,補助,5,2.33
173,擴大,5,2.33
174,逢甲,5,2.33
175,78,5,2.33
176,血親,5,2.33
177,喪葬費用,5,2.33
178,同意,4,1.86
179,前方,4,1.86
180,意思,4,1.86
181,510,4,1.86
182,87,4,1.86
183,有過,4,1.86
184,視線,4,1.86
185,156,4,1.86
186,說明,4,1.86
187,491,4,1.86
188,監視,4,1.86
189,399,4,1.86
190,724,4,1.86
191,151,4,1.86
192,傷病,4,1.86
193,322,4,1.86
194,中樞神,4,1.86
195,凌晨,4,1.86
196,75,4,1.86
197,脾臟,4,1.86
198,交訴,4,1.86
199,占用,4,1.86
200,149,4,1.86
201,377,4,1.86
202,禁字,4,1.86
203,487,4,1.86
