,keyword,count,ratio
0,看護費,274,21.17
1,骨折,177,13.68
2,最高法院,169,13.06
3,工作損失,158,12.21
4,普通重型機車,140,10.82
5,頭部,128,9.89
6,先行,120,9.27
7,人間,119,9.2
8,擦傷,109,8.42
9,終結,106,8.19
10,重型機車,103,7.96
11,道路交通,101,7.81
12,人受,101,7.81
13,是否,96,7.42
14,審判決,94,7.26
15,法官,88,6.8
16,人則,84,6.49
17,性骨折,82,6.34
18,前方,79,6.11
19,造成,77,5.95
20,負舉,77,5.95
21,撫金,76,5.87
22,所述,73,5.64
23,薪資損失,70,5.41
24,痛苦,69,5.33
25,實際,69,5.33
26,不能,66,5.1
27,減輕,65,5.02
28,醫藥費,65,5.02
29,受判,64,4.95
30,安全措施,62,4.79
31,右膝,62,4.79
32,腦震盪,61,4.71
33,義務,60,4.64
34,判例,60,4.64
35,經濟,60,4.64
36,撕裂,58,4.48
37,191,58,4.48
38,時速,57,4.4
39,格法,56,4.33
40,嚴重,55,4.25
41,斟酌,55,4.25
42,成立,54,4.17
43,警詢,54,4.17
44,之機車,53,4.1
45,願供,50,3.86
46,程度,50,3.86
47,職權,49,3.79
48,市政府,47,3.63
49,關節,47,3.63
50,請准,47,3.63
51,傷口,47,3.63
52,往南方,46,3.55
53,不爭,46,3.55
54,人車,45,3.48
55,說明,45,3.48
56,不在此限,44,3.4
57,有何,43,3.32
58,原審卷,43,3.32
59,不應,43,3.32
60,臉部,43,3.32
61,脛骨,43,3.32
62,判斷,42,3.25
63,無據,41,3.17
64,支付,41,3.17
65,固定,40,3.09
66,來車,40,3.09
67,行駛至,39,3.01
68,左膝,39,3.01
69,不當,39,3.01
70,本應,38,2.94
71,頸部,38,2.94
72,客觀,38,2.94
73,業經,38,2.94
74,扭傷,37,2.86
75,闖紅燈,37,2.86
76,否認,37,2.86
77,行使,37,2.86
78,無關,37,2.86
79,本庭,37,2.86
80,不慎,36,2.78
81,審判,36,2.78
82,原因,36,2.78
83,明確,35,2.7
84,49,35,2.7
85,改判,35,2.7
86,背面,34,2.63
87,下肢,34,2.63
88,過高,34,2.63
89,致上訴,34,2.63
90,貿然,34,2.63
91,同意,34,2.63
92,骨科,33,2.55
93,偵續,33,2.55
94,右手,33,2.55
95,基礎,33,2.55
96,0000000000,33,2.55
97,196,33,2.55
98,之判決,33,2.55
99,下同,33,2.55
100,第二,32,2.47
101,堪認,32,2.47
102,78,32,2.47
103,原則,31,2.4
104,不服,31,2.4
105,確實,31,2.4
106,之債,31,2.4
107,錄器,31,2.4
108,腰椎,31,2.4
109,審之訴,30,2.32
110,急煞,30,2.32
111,竟疏,30,2.32
112,設有,30,2.32
113,保持,30,2.32
114,駕駛人應,30,2.32
115,之責,30,2.32
116,之間,30,2.32
117,192,30,2.32
118,出血,29,2.24
119,燈光,29,2.24
120,搭載,29,2.24
121,證責任,29,2.24
122,月薪,29,2.24
123,情況,29,2.24
124,闖越,29,2.24
125,裁判,29,2.24
126,所載,28,2.16
127,疼痛,28,2.16
128,依職權,28,2.16
129,拒絕,28,2.16
130,之上,28,2.16
131,第三,28,2.16
132,聲請,28,2.16
133,分書,28,2.16
134,研判,28,2.16
135,症狀,27,2.09
136,負連帶,27,2.09
137,53,27,2.09
138,駁回,27,2.09
139,並無過,27,2.09
140,負責,27,2.09
141,乙節,27,2.09
142,停止,27,2.09
143,遵守,27,2.09
144,難認,27,2.09
145,因車,27,2.09
146,報告表,27,2.09
147,創傷,27,2.09
148,路邊,27,2.09
149,肇因,26,2.01
150,路由,26,2.01
151,左肩,26,2.01
152,義務人,26,2.01
153,提供,26,2.01
154,72,26,2.01
155,車速,26,2.01
156,其行,26,2.01
157,小客,26,2.01
158,痕跡,26,2.01
159,公路,26,2.01
160,胸壁,26,2.01
161,有利於,26,2.01
162,撤回,25,1.93
163,大腿,25,1.93
164,突出,25,1.93
165,比例,25,1.93
166,有過,25,1.93
